measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),113,Guyana,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,49808.763497399996,53787.715120299996,45758.4530033
2,DALYs (Disability-Adjusted Life Years),44634,High-middle SDI,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,25095.272482999997,28369.049450900002,22038.7351463
2,DALYs (Disability-Adjusted Life Years),148,Morocco,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,45640.906127300004,49740.2283661,41800.6280416
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,40857.9131022,45405.830984,36386.4850547
2,DALYs (Disability-Adjusted Life Years),115,Jamaica,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,29812.995778700002,33751.1634959,26377.269098900004
2,DALYs (Disability-Adjusted Life Years),58,Estonia,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,24365.9249554,28010.946700599998,21088.4488917
2,DALYs (Disability-Adjusted Life Years),33,Armenia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,36415.0492434,39851.1106792,33238.5059223
2,DALYs (Disability-Adjusted Life Years),113,Guyana,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,41625.3226872,46111.8247296,37376.4870611
2,DALYs (Disability-Adjusted Life Years),77,Cyprus,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,19794.287511299997,22816.1543949,16933.0772117
2,DALYs (Disability-Adjusted Life Years),4655,Hidalgo,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,35618.728544,39042.6730679,32516.0307132
2,DALYs (Disability-Adjusted Life Years),35447,Mie,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,16923.1569512,19920.016616200002,14250.856715999998
2,DALYs (Disability-Adjusted Life Years),19,Timor-Leste,3,Both,27,Age-standardized,294,All causes,3,Rate,2016,32577.587311099996,38394.133162,27536.799908499997
2,DALYs (Disability-Adjusted Life Years),31,"Central Europe, Eastern Europe, and Central Asia",3,Both,27,Age-standardized,294,All causes,3,Rate,1990,38669.9848031,42183.7641285,35454.4433225
2,DALYs (Disability-Adjusted Life Years),4673,Yucatán,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,31431.162809199996,34452.6315805,28566.683113699997
2,DALYs (Disability-Adjusted Life Years),191,Zambia,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,83018.4296023,90438.3026767,76370.8645542
2,DALYs (Disability-Adjusted Life Years),168,Angola,3,Both,27,Age-standardized,294,All causes,3,Rate,1990,91138.7824907,101229.861723,80918.6022278
